Item Code,Product Type,Image Url,FlowerWyz Image Url,COMMON
C3-4431,V,https://www.floristone.com/flowers/products/C3-4431.jpg,https://www.flowerwyz.com/images/flowers-next-day.jpg,1000
S14-4467,FS,https://www.floristone.com/flowers/products/S14-4467.jpg,,1000
T34-1A,C,https://www.floristone.com/flowers/products/T34-1A.jpg,https://www.flowerwyz.com/images/party-centerpieces.jpg,1000
T96-2A,P,https://www.floristone.com/flowers/products/T96-2A.jpg,https://www.flowerwyz.com/images/deliver-rare-plants.jpg,1000
fam801,R,https://www.floristone.com/flowers/products/fam801.jpg,https://www.flowerwyz.com/images/valentine-gift-baskets.jpg,1000
C19-4849,V,https://www.floristone.com/flowers/products/C19-4849.jpg,https://www.flowerwyz.com/images/flowers-for-birthday.jpg,1000
S34-4515,FA,https://www.floristone.com/flowers/products/S34-4515.jpg,,1000
T27-2A,C,https://www.floristone.com/flowers/products/T27-2A.jpg,https://www.flowerwyz.com/images/table-decoration-ideas.jpg,1000
fam101,R,https://www.floristone.com/flowers/products/fam101.jpg,https://www.flowerwyz.com/images/2nd-anniversary-flowers.jpg,1000
C19-4846,V,https://www.floristone.com/flowers/products/C19-4846.jpg,https://www.flowerwyz.com/images/birthday-delivery-ideas.jpg,1000
S17-4472,FL,https://www.floristone.com/flowers/products/S17-4472.jpg,,1000
T27-1A,C,https://www.floristone.com/flowers/products/T27-1A.jpg,https://www.flowerwyz.com/images/simple-centerpieces.jpg,1000
fam802,R,https://www.floristone.com/flowers/products/fam802.jpg,https://www.flowerwyz.com/images/valentine-delivery-gifts.jpg,1000
S6-4447,FS,https://www.floristone.com/flowers/products/S6-4447.jpg,,1000
C18-4858,V,https://www.floristone.com/flowers/products/C18-4858.jpg,https://www.flowerwyz.com/images/flower-next-day-delivery.jpg,1000
AFS115,R,https://www.floristone.com/flowers/products/AFS115.jpg,,1000
T26-1A,C,https://www.floristone.com/flowers/products/T26-1A.jpg,https://www.flowerwyz.com/images/centerpieces-ideas.jpg,1000
C17-4861,V,https://www.floristone.com/flowers/products/C17-4861.jpg,https://www.flowerwyz.com/images/flowers-delivered-next-day.jpg,1000
S25-4321,FA,https://www.floristone.com/flowers/products/S25-4321.jpg,,1000
T47-3A,C,https://www.floristone.com/flowers/products/T47-3A.jpg,https://www.flowerwyz.com/images/cheap-centerpieces.jpg,1000
fam107,R,https://www.floristone.com/flowers/products/fam107.jpg,https://www.flowerwyz.com/files/inexpensive-flower-delivery.jpg,1000
C17-4842,V,https://www.floristone.com/flowers/products/C17-4842.jpg,https://www.flowerwyz.com/images/birthday-delivery-gifts.jpg,1000
S22-4298,FA,https://www.floristone.com/flowers/products/S22-4298.jpg,,1000
T47-1A,C,https://www.floristone.com/flowers/products/T47-1A.jpg,https://www.flowerwyz.com/images/centerpiece-vases.jpg,1000
fam104,R,https://www.floristone.com/flowers/products/fam104.jpg,,1000
C16-4839,V,https://www.floristone.com/flowers/products/C16-4839.jpg,https://www.flowerwyz.com/images/flowers-delivery-tomorrow.jpg,1000
S37-4522,FS,https://www.floristone.com/flowers/products/S37-4522.jpg,,1000
T55-3A,C,https://www.floristone.com/flowers/products/T55-3A.jpg,https://www.flowerwyz.com/images/kitchen-table-centerpieces.jpg,1000
fam106,R,https://www.floristone.com/flowers/products/fam106.jpg,https://www.flowerwyz.com/files/free-delivery-flowers.jpg,1000
C15-4853,V,https://www.floristone.com/flowers/products/C15-4853.jpg,https://www.flowerwyz.com/images/flowers-for-next-day.jpg,1000
S17-4474,FB,https://www.floristone.com/flowers/products/S17-4474.jpg,,1000
T52-3A,C,https://www.floristone.com/flowers/products/T52-3A.jpg,https://www.flowerwyz.com/images/center-piece.jpg,1000
C7-4925,V,https://www.floristone.com/flowers/products/C7-4925.jpg,https://www.flowerwyz.com/images/cheap-next-day-flower.jpg,1000
S29-4502,FW,https://www.floristone.com/flowers/products/S29-4502.jpg,https://www.flowerwyz.com/images/flowers-for-funerals.jpg,1000
T67-3A,C,https://www.floristone.com/flowers/products/T67-3A.jpg,https://www.flowerwyz.com/images/valentines-flowers-delivery.jpg,1000
C7-4862,V,https://www.floristone.com/flowers/products/C7-4862.jpg,https://www.flowerwyz.com/images/flowers-for-tomorrow.jpg,1000
S47-4552,FA,https://www.floristone.com/flowers/products/S47-4552.jpg,,1000
B4-4112,C,https://www.floristone.com/flowers/products/B4-4112.jpg,https://www.flowerwyz.com/images/3rd-anniversary-flowers.jpg,1000
D7-4906,V,https://www.floristone.com/flowers/products/D7-4906.jpg,https://www.flowerwyz.com/images/wedding-flowers.jpg,1000
S22-4485,FB,https://www.floristone.com/flowers/products/S22-4485.jpg,,1000
D7-4905,V,https://www.floristone.com/flowers/products/D7-4905.jpg,https://www.flowerwyz.com/images/wedding-bouquets.jpg,1000
T159-3A,C,https://www.floristone.com/flowers/products/T159-3A.jpg,https://www.flowerwyz.com/images/centerpieces-for-tables.jpg,1000
S19-4480,FA,https://www.floristone.com/flowers/products/S19-4480.jpg,,1000
D4-4902,V,https://www.floristone.com/flowers/products/D4-4902.jpg,https://www.flowerwyz.com/images/birthday-gift-delivery.jpg,1000
T174-2A,C,https://www.floristone.com/flowers/products/T174-2A.jpg,https://www.flowerwyz.com/images/table-centerpiece-ideas.jpg,1000
S44-4541,FB,https://www.floristone.com/flowers/products/S44-4541.jpg,https://www.flowerwyz.com/images/sympathy-flower.jpg,1000
D3-4897,V,https://www.floristone.com/flowers/products/D3-4897.jpg,https://www.flowerwyz.com/images/bridal-bouquets.jpg,1000
T161-1A,C,https://www.floristone.com/flowers/products/T161-1A.jpg,https://www.flowerwyz.com/images/get-well-flowers.jpg,1000
S21-4483,FA,https://www.floristone.com/flowers/products/S21-4483.jpg,https://www.flowerwyz.com/images/sympathy-gift.jpg,1000
C9-4866,V,https://www.floristone.com/flowers/products/C9-4866.jpg,https://www.flowerwyz.com/images/flowers-for-weddings.jpg,1000
T160-1A,C,https://www.floristone.com/flowers/products/T160-1A.jpg,https://www.flowerwyz.com/images/get-well-soon-flowers.jpg,1000
S40-4530,FA,https://www.floristone.com/flowers/products/S40-4530.jpg,https://www.flowerwyz.com/images/sympathy-flowers-delivery.jpg,1000
C7-4843,V,https://www.floristone.com/flowers/products/C7-4843.jpg,https://www.flowerwyz.com/images/wedding-flowers-online.jpg,1000
T163-2A,C,https://www.floristone.com/flowers/products/T163-2A.jpg,,1000
S23-4488,FB,https://www.floristone.com/flowers/products/S23-4488.jpg,,1000
C6-4863,V,https://www.floristone.com/flowers/products/C6-4863.jpg,https://www.flowerwyz.com/images/wedding-flower-arrangements.jpg,1000
T171-1A,C,https://www.floristone.com/flowers/products/T171-1A.jpg,,1000
